Entity Name,Domain Code,Entity Keys,Table Name,Table Column
Account,account,account_id,DW_NS_account_D,id
Account Type,accounttype,accounttype_id,DW_NS_ACCOUNTTYPE_D,id
Accounting Book,accountingBook,accountingBook_id,DW_NS_accountingBook_D,id
Accounting Period,accountingPeriod,accountingPeriod_id,DW_NS_accountingPeriod_D,id
Action Type,ActionType,ActionType_type,DW_NS_ActionType_D,type
Amortization Type,AmortizationType,AmortizationType_key,DW_NS_AmortizationType_D,key
Approval Status,ApprovalStatus,ApprovalStatus_id,DW_NS_ApprovalStatus_D,id
Assembly Item Bom,assemblyItemBom,assemblyItemBom_assembly,DW_NS_assemblyItemBom_G,assembly
Assembly Item Bom,assemblyItemBom,assemblyItemBom_billofmaterials,DW_NS_assemblyItemBom_G,billofmaterials
Bill Variance Status,BillVarianceStatus,BillVarianceStatus_key,DW_NS_BillVarianceStatus_D,key
Bill of Materials,bom,bom_id,DW_NS_bom_D,id
Bill of Materials Revision,bomRevision,bomRevision_id,DW_NS_bomRevision_D,id
Bill of Materials Revision Component,BomRevisionComponent,BomRevisionComponent_id,DW_NS_BomRevisionComponent_D,id
Billing Account,billingAccount,billingAccount_id,DW_NS_billingAccount_D,id
Billing Class,BillingClass,BillingClass_id,DW_NS_BillingClass_D,id
Billing Rate Card,BillingRateCard,BillingRateCard_id,DW_NS_BillingRateCard_D,id
Billing Schedule,billingSchedule,billingSchedule_id,DW_NS_billingSchedule_D,id
Billing Schedule Recurrence Pattern,billingScheduleRecurrencePattern,billingScheduleRecurrencePattern_id,DW_NS_billingScheduleRecurrencePattern_D,id
Billing Schedule Type,BillingScheduleType,BillingScheduleType_id,DW_NS_BillingScheduleType_D,id
Bin,bin,bin_id,DW_NS_bin_D,id
Bin Putaway Worksheet Transaction Line,BinWkshtTransactionLine,BinWkshtTransactionLine_id,DW_NS_BIN_PUTAWAY_WORKSHEET_LINES_F,id
Bin Putaway Worksheet Transaction Line,BinWkshtTransactionLine,BinWkshtTransactionLine_transaction,DW_NS_BIN_PUTAWAY_WORKSHEET_LINES_F,transaction
Bin Transfer Transaction Line,BinTrnfrTransactionLine,BinTrnfrTransactionLine_id,DW_NS_BIN_TRANSFER_LINES_F,id
Bin Transfer Transaction Line,BinTrnfrTransactionLine,BinTrnfrTransactionLine_transaction,DW_NS_BIN_TRANSFER_LINES_F,transaction
Bin Transfer Transactions,BinTrnfrTransactions,BinTrnfrTransactions_id,DW_NS_BIN_TRANSFER_F,id
Bin Transfer Transactions,BinTrnfrTransactions,BinTrnfrTransactions_id,DW_NS_BIN_TRANSFER_LINES_F,transaction
BinPutaway Worksheet Transactions,BinWkshtTransactions,BinWkshtTransactions_id,DW_NS_BIN_PUTAWAY_WORKSHEET_F,id
BinPutaway Worksheet Transactions,BinWkshtTransactions,BinWkshtTransactions_id,DW_NS_BIN_PUTAWAY_WORKSHEET_LINES_F,transaction
Budget Category,budgetcategory,budgetcategory_id,DW_NS_budgetcategory_D,id
Budgets,budgets,budgets_id,DW_NS_BUDGETS_F,id
Budgets Machine,budgetsMachine,budgetsMachine_budgetid,DW_NS_BUDGET_PERIOD_AMOUNTS_F,budgetid
Build Transaction Accounting Line,BuildTransactionAccountingLine,BuildTransactionAccountingLine_accountingbook,DW_NS_ASSEMBLY_BUILD_LINES_F,accountingbook
Build Transaction Accounting Line,BuildTransactionAccountingLine,BuildTransactionAccountingLine_transaction,DW_NS_ASSEMBLY_BUILD_LINES_F,transaction
Build Transaction Accounting Line,BuildTransactionAccountingLine,BuildTransactionAccountingLine_transactionline,DW_NS_ASSEMBLY_BUILD_LINES_F,id
Build Transaction Line,BuildTransactionLine,BuildTransactionLine_id,DW_NS_ASSEMBLY_BUILD_LINES_F,id
Build Transaction Line,BuildTransactionLine,BuildTransactionLine_transaction,DW_NS_ASSEMBLY_BUILD_LINES_F,transaction
Build Transactions,BuildTransactions,BuildTransactions_id,DW_NS_ASSEMBLY_BUILD_F,id
Build Transactions,BuildTransactions,BuildTransactions_id,DW_NS_ASSEMBLY_BUILD_LINES_F,transaction
Cash Refund Transaction Accounting Line,CashRfndTransactionAccountingLine,CashRfndTransactionAccountingLine_accountingbook,DW_NS_CASH_REFUND_LINES_F,accountingbook
Cash Refund Transaction Accounting Line,CashRfndTransactionAccountingLine,CashRfndTransactionAccountingLine_transaction,DW_NS_CASH_REFUND_LINES_F,transaction
Cash Refund Transaction Accounting Line,CashRfndTransactionAccountingLine,CashRfndTransactionAccountingLine_transactionline,DW_NS_CASH_REFUND_LINES_F,id
Cash Refund Transaction Line,CashRfndTransactionLine,CashRfndTransactionLine_id,DW_NS_CASH_REFUND_LINES_F,id
Cash Refund Transaction Line,CashRfndTransactionLine,CashRfndTransactionLine_transaction,DW_NS_CASH_REFUND_LINES_F,transaction
Cash Refund Transactions,CashRfndTransactions,CashRfndTransactions_id,DW_NS_CASH_REFUND_F,id
Cash Refund Transactions,CashRfndTransactions,CashRfndTransactions_id,DW_NS_CASH_REFUND_LINES_F,transaction
Cash Sale Transaction Accounting Line,CashSaleTransactionAccountingLine,CashSaleTransactionAccountingLine_accountingbook,DW_NS_CASH_SALE_LINES_F,accountingbook
Cash Sale Transaction Accounting Line,CashSaleTransactionAccountingLine,CashSaleTransactionAccountingLine_transaction,DW_NS_CASH_SALE_LINES_F,transaction
Cash Sale Transaction Accounting Line,CashSaleTransactionAccountingLine,CashSaleTransactionAccountingLine_transactionline,DW_NS_CASH_SALE_LINES_F,id
Cash Sale Transaction Line,CashSaleTransactionLine,CashSaleTransactionLine_id,DW_NS_CASH_SALE_LINES_F,id
Cash Sale Transaction Line,CashSaleTransactionLine,CashSaleTransactionLine_transaction,DW_NS_CASH_SALE_LINES_F,transaction
Cash Sale Transactions,CashSaleTransactions,CashSaleTransactions_id,DW_NS_CASH_SALE_F,id
Cash Sale Transactions,CashSaleTransactions,CashSaleTransactions_id,DW_NS_CASH_SALE_LINES_F,transaction
Charge,charge,charge_id,DW_NS_charge_F,id
Charge Billing Mode Type,Chargebillingmodetype,Chargebillingmodetype_key,DW_NS_Chargebillingmodetype_D,key
Charge Rule,ChargeRule,ChargeRule_id,DW_NS_ChargeRule_D,id
Charge Stage Type,Chargestagetype,Chargestagetype_key,DW_NS_Chargestagetype_D,key
Charge Type,chargeType,chargeType_id,DW_NS_chargeType_D,id
Charge Use,Chargeuse,Chargeuse_key,DW_NS_Chargeuse_D,key
Check Transaction Accounting Line,CheckTransactionAccountingLine,CheckTransactionAccountingLine_accountingbook,DW_NS_CHECK_LINES_F,accountingbook
Check Transaction Accounting Line,CheckTransactionAccountingLine,CheckTransactionAccountingLine_transaction,DW_NS_CHECK_LINES_F,transaction
Check Transaction Accounting Line,CheckTransactionAccountingLine,CheckTransactionAccountingLine_transactionline,DW_NS_CHECK_LINES_F,id
Check Transaction Line,CheckTransactionLine,CheckTransactionLine_id,DW_NS_CHECK_LINES_F,id
Check Transaction Line,CheckTransactionLine,CheckTransactionLine_transaction,DW_NS_CHECK_LINES_F,transaction
Check Transactions,CheckTransactions,CheckTransactions_id,DW_NS_CHECK_F,id
Check Transactions,CheckTransactions,CheckTransactions_id,DW_NS_CHECK_LINES_F,transaction
Classification,classification,classification_id,DW_NS_classification_D,id
Commission Payment Type,CommissionPaymentType,CommissionPaymentType_key,DW_NS_CommissionPaymentType_D,key
Commission Transaction Accounting Line,CommissnTransactionAccountingLine,CommissnTransactionAccountingLine_accountingbook,DW_NS_COMMISSION_LINES_F,accountingbook
Commission Transaction Accounting Line,CommissnTransactionAccountingLine,CommissnTransactionAccountingLine_transaction,DW_NS_COMMISSION_LINES_F,transaction
Commission Transaction Accounting Line,CommissnTransactionAccountingLine,CommissnTransactionAccountingLine_transactionline,DW_NS_COMMISSION_LINES_F,id
Commission Transaction Line,CommissnTransactionLine,CommissnTransactionLine_id,DW_NS_COMMISSION_LINES_F,id
Commission Transaction Line,CommissnTransactionLine,CommissnTransactionLine_transaction,DW_NS_COMMISSION_LINES_F,transaction
Commission Transactions,CommissnTransactions,CommissnTransactions_id,DW_NS_COMMISSION_F,id
Commission Transactions,CommissnTransactions,CommissnTransactions_id,DW_NS_COMMISSION_LINES_F,transaction
Commission Transactions,CommissnTransactions,CommissnTransactions_id,DW_NS_COMMISSION_SNAPSHOT_F,id
Consolidated Rate Type,ConsolidatedRateType,ConsolidatedRateType_id,DW_NS_ConsolidatedRateType_D,id
Contact,Contact,Contact_id,DW_NS_Contact_D,id
Cost Category,costCategory,costCategory_id,DW_NS_costCategory_D,id
Cost Estimate Type,CostEstimateType,CostEstimateType_key,DW_NS_COSTESTIMATETYPE_D,key
Costing Method Type,CostingMethodType,CostingMethodType_key,DW_NS_CostingMethodType_D,key
Country,Country,Country_id,DW_NS_Country_D,id
Credit Card Charge Transaction Accounting Line,CardChrgTransactionAccountingLine,CardChrgTransactionAccountingLine_accountingbook,DW_NS_CREDIT_CARD_CHARGE_LINES_F,accountingbook
Credit Card Charge Transaction Accounting Line,CardChrgTransactionAccountingLine,CardChrgTransactionAccountingLine_transaction,DW_NS_CREDIT_CARD_CHARGE_LINES_F,transaction
Credit Card Charge Transaction Accounting Line,CardChrgTransactionAccountingLine,CardChrgTransactionAccountingLine_transactionline,DW_NS_CREDIT_CARD_CHARGE_LINES_F,id
Credit Card Charge Transaction Line,CardChrgTransactionLine,CardChrgTransactionLine_id,DW_NS_CREDIT_CARD_CHARGE_LINES_F,id
Credit Card Charge Transaction Line,CardChrgTransactionLine,CardChrgTransactionLine_transaction,DW_NS_CREDIT_CARD_CHARGE_LINES_F,transaction
Credit Card Charge Transactions,CardChrgTransactions,CardChrgTransactions_id,DW_NS_CREDIT_CARD_CHARGE_F,id
Credit Card Charge Transactions,CardChrgTransactions,CardChrgTransactions_id,DW_NS_CREDIT_CARD_CHARGE_LINES_F,transaction
Credit Card Refund Transaction Accounting Line,CardRfndTransactionAccountingLine,CardRfndTransactionAccountingLine_accountingbook,DW_NS_CREDIT_CARD_REFUND_LINES_F,accountingbook
Credit Card Refund Transaction Accounting Line,CardRfndTransactionAccountingLine,CardRfndTransactionAccountingLine_transaction,DW_NS_CREDIT_CARD_REFUND_LINES_F,transaction
Credit Card Refund Transaction Accounting Line,CardRfndTransactionAccountingLine,CardRfndTransactionAccountingLine_transactionline,DW_NS_CREDIT_CARD_REFUND_LINES_F,id
Credit Card Refund Transaction Line,CardRfndTransactionLine,CardRfndTransactionLine_id,DW_NS_CREDIT_CARD_REFUND_LINES_F,id
Credit Card Refund Transaction Line,CardRfndTransactionLine,CardRfndTransactionLine_transaction,DW_NS_CREDIT_CARD_REFUND_LINES_F,transaction
Credit Card Refund Transactions,CardRfndTransactions,CardRfndTransactions_id,DW_NS_CREDIT_CARD_REFUND_F,id
Credit Card Refund Transactions,CardRfndTransactions,CardRfndTransactions_id,DW_NS_CREDIT_CARD_REFUND_LINES_F,transaction
Cross Charge Journal Transaction Accounting Line,XChgJrnlTransactionAccountingLine,XChgJrnlTransactionAccountingLine_accountingbook,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,accountingbook
Cross Charge Journal Transaction Accounting Line,XChgJrnlTransactionAccountingLine,XChgJrnlTransactionAccountingLine_transaction,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,transaction
Cross Charge Journal Transaction Accounting Line,XChgJrnlTransactionAccountingLine,XChgJrnlTransactionAccountingLine_transactionline,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,id
Cross Charge Journal Transaction Line,XChgJrnlTransactionLine,XChgJrnlTransactionLine_id,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,id
Cross Charge Journal Transaction Line,XChgJrnlTransactionLine,XChgJrnlTransactionLine_transaction,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,transaction
Cross Charge Journal Transactions,XChgJrnlTransactions,XChgJrnlTransactions_id,DW_NS_CROSS_CHARGE_JOURNAL_F,id
Cross Charge Journal Transactions,XChgJrnlTransactions,XChgJrnlTransactions_id,DW_NS_CROSS_CHARGE_JOURNAL_LINES_F,transaction
Currency,currency,currency_id,DW_NS_currency_D,id
Currency Revaluation Transaction Accounting Line,FxRevalTransactionAccountingLine,FxRevalTransactionAccountingLine_accountingbook,DW_NS_CURRENCY_REVAL_LINES_F,accountingbook
Currency Revaluation Transaction Accounting Line,FxRevalTransactionAccountingLine,FxRevalTransactionAccountingLine_transaction,DW_NS_CURRENCY_REVAL_LINES_F,transaction
Currency Revaluation Transaction Accounting Line,FxRevalTransactionAccountingLine,FxRevalTransactionAccountingLine_transactionline,DW_NS_CURRENCY_REVAL_LINES_F,id
Currency Revaluation Transaction Line,FxRevalTransactionLine,FxRevalTransactionLine_id,DW_NS_CURRENCY_REVAL_LINES_F,id
Currency Revaluation Transaction Line,FxRevalTransactionLine,FxRevalTransactionLine_transaction,DW_NS_CURRENCY_REVAL_LINES_F,transaction
Currency Revaluation Transactions,FxRevalTransactions,FxRevalTransactions_id,DW_NS_CURRENCY_REVAL_F,id
Currency Revaluation Transactions,FxRevalTransactions,FxRevalTransactions_id,DW_NS_CURRENCY_REVAL_LINES_F,transaction
Customer,customer,customer_id,DW_NS_customer_D,id
Customer Category,customerCategory,customerCategory_id,DW_NS_customerCategory_D,id
Customer Credit Transaction Accounting Line,CustCredTransactionAccountingLine,CustCredTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_CREDIT_LINES_F,accountingbook
Customer Credit Transaction Accounting Line,CustCredTransactionAccountingLine,CustCredTransactionAccountingLine_transaction,DW_NS_CUSTOMER_CREDIT_LINES_F,transaction
Customer Credit Transaction Accounting Line,CustCredTransactionAccountingLine,CustCredTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_CREDIT_LINES_F,id
Customer Credit Transaction Line,CustCredTransactionLine,CustCredTransactionLine_id,DW_NS_CUSTOMER_CREDIT_LINES_F,id
Customer Credit Transaction Line,CustCredTransactionLine,CustCredTransactionLine_transaction,DW_NS_CUSTOMER_CREDIT_LINES_F,transaction
Customer Credit Transactions,CustCredTransactions,CustCredTransactions_id,DW_NS_CUSTOMER_CREDIT_F,id
Customer Credit Transactions,CustCredTransactions,CustCredTransactions_id,DW_NS_CUSTOMER_CREDIT_LINES_F,transaction
Customer Deposit Transaction Accounting Line,CustDepTransactionAccountingLine,CustDepTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_DEPOSIT_LINES_F,accountingbook
Customer Deposit Transaction Accounting Line,CustDepTransactionAccountingLine,CustDepTransactionAccountingLine_transaction,DW_NS_CUSTOMER_DEPOSIT_LINES_F,transaction
Customer Deposit Transaction Accounting Line,CustDepTransactionAccountingLine,CustDepTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_DEPOSIT_LINES_F,id
Customer Deposit Transaction Line,CustDepTransactionLine,CustDepTransactionLine_id,DW_NS_CUSTOMER_DEPOSIT_LINES_F,id
Customer Deposit Transaction Line,CustDepTransactionLine,CustDepTransactionLine_transaction,DW_NS_CUSTOMER_DEPOSIT_LINES_F,transaction
Customer Deposit Transactions,CustDepTransactions,CustDepTransactions_id,DW_NS_CUSTOMER_DEPOSIT_F,id
Customer Deposit Transactions,CustDepTransactions,CustDepTransactions_id,DW_NS_CUSTOMER_DEPOSIT_LINES_F,transaction
Customer Invoice Transaction Accounting Line,CustInvcTransactionAccountingLine,CustInvcTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_INVOICE_LINES_F,accountingbook
Customer Invoice Transaction Accounting Line,CustInvcTransactionAccountingLine,CustInvcTransactionAccountingLine_transaction,DW_NS_CUSTOMER_INVOICE_LINES_F,transaction
Customer Invoice Transaction Accounting Line,CustInvcTransactionAccountingLine,CustInvcTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_INVOICE_LINES_F,id
Customer Invoice Transaction Line,CustInvcTransactionLine,CustInvcTransactionLine_id,DW_NS_CUSTOMER_INVOICE_LINES_F,id
Customer Invoice Transaction Line,CustInvcTransactionLine,CustInvcTransactionLine_transaction,DW_NS_CUSTOMER_INVOICE_LINES_F,transaction
Customer Invoice Transactions,CustInvcTransactions,CustInvcTransactions_id,DW_NS_CUSTOMER_INVOICE_F,id
Customer Invoice Transactions,CustInvcTransactions,CustInvcTransactions_id,DW_NS_CUSTOMER_INVOICE_LINES_F,transaction
Customer Invoice Transactions,CustInvcTransactions,CustInvcTransactions_id,DW_NS_CUSTOMER_INVC_SNAPSHOT_F,id
Customer Payment Authorization Transaction Accounting Line,CustAuthTransactionAccountingLine,CustAuthTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,accountingbook
Customer Payment Authorization Transaction Accounting Line,CustAuthTransactionAccountingLine,CustAuthTransactionAccountingLine_transaction,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,transaction
Customer Payment Authorization Transaction Accounting Line,CustAuthTransactionAccountingLine,CustAuthTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,id
Customer Payment Authorization Transaction Line,CustAuthTransactionLine,CustAuthTransactionLine_id,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,id
Customer Payment Authorization Transaction Line,CustAuthTransactionLine,CustAuthTransactionLine_transaction,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,transaction
Customer Payment Authorization Transactions,CustAuthTransactions,CustAuthTransactions_id,DW_NS_CUSTOMER_PAYMENT_AUTH_F,id
Customer Payment Authorization Transactions,CustAuthTransactions,CustAuthTransactions_id,DW_NS_CUSTOMER_PAYMENT_AUTH_LINES_F,transaction
Customer Payment Transaction Accounting Line,CustPymtTransactionAccountingLine,CustPymtTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_PAYMENT_LINES_F,accountingbook
Customer Payment Transaction Accounting Line,CustPymtTransactionAccountingLine,CustPymtTransactionAccountingLine_transaction,DW_NS_CUSTOMER_PAYMENT_LINES_F,transaction
Customer Payment Transaction Accounting Line,CustPymtTransactionAccountingLine,CustPymtTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_PAYMENT_LINES_F,id
Customer Payment Transaction Line,CustPymtTransactionLine,CustPymtTransactionLine_id,DW_NS_CUSTOMER_PAYMENT_LINES_F,id
Customer Payment Transaction Line,CustPymtTransactionLine,CustPymtTransactionLine_transaction,DW_NS_CUSTOMER_PAYMENT_LINES_F,transaction
Customer Payment Transactions,CustPymtTransactions,CustPymtTransactions_id,DW_NS_CUSTOMER_PAYMENT_F,id
Customer Payment Transactions,CustPymtTransactions,CustPymtTransactions_id,DW_NS_CUSTOMER_PAYMENT_LINES_F,transaction
Customer Payment Transactions,CustPymtTransactions,CustPymtTransactions_id,DW_NS_CUSTOMER_PAYMENT_SNAPSHOT_F,id
Customer Refund Transaction Accounting Line,CustRfndTransactionAccountingLine,CustRfndTransactionAccountingLine_accountingbook,DW_NS_CUSTOMER_REFUND_LINES_F,accountingbook
Customer Refund Transaction Accounting Line,CustRfndTransactionAccountingLine,CustRfndTransactionAccountingLine_transaction,DW_NS_CUSTOMER_REFUND_LINES_F,transaction
Customer Refund Transaction Accounting Line,CustRfndTransactionAccountingLine,CustRfndTransactionAccountingLine_transactionline,DW_NS_CUSTOMER_REFUND_LINES_F,id
Customer Refund Transaction Line,CustRfndTransactionLine,CustRfndTransactionLine_id,DW_NS_CUSTOMER_REFUND_LINES_F,id
Customer Refund Transaction Line,CustRfndTransactionLine,CustRfndTransactionLine_transaction,DW_NS_CUSTOMER_REFUND_LINES_F,transaction
Customer Refund Transactions,CustRfndTransactions,CustRfndTransactions_id,DW_NS_CUSTOMER_REFUND_F,id
Customer Refund Transactions,CustRfndTransactions,CustRfndTransactions_id,DW_NS_CUSTOMER_REFUND_LINES_F,transaction
Department,department,department_id,DW_NS_department_D,id
Deposit Application Transaction Accounting Line,DepApplTransactionAccountingLine,DepApplTransactionAccountingLine_accountingbook,DW_NS_DEPOSIT_APPL_LINES_F,accountingbook
Deposit Application Transaction Accounting Line,DepApplTransactionAccountingLine,DepApplTransactionAccountingLine_transaction,DW_NS_DEPOSIT_APPL_LINES_F,transaction
Deposit Application Transaction Accounting Line,DepApplTransactionAccountingLine,DepApplTransactionAccountingLine_transactionline,DW_NS_DEPOSIT_APPL_LINES_F,id
Deposit Application Transaction Line,DepApplTransactionLine,DepApplTransactionLine_id,DW_NS_DEPOSIT_APPL_LINES_F,id
Deposit Application Transaction Line,DepApplTransactionLine,DepApplTransactionLine_transaction,DW_NS_DEPOSIT_APPL_LINES_F,transaction
Deposit Application Transactions,DepApplTransactions,DepApplTransactions_id,DW_NS_DEPOSIT_APPL_F,id
Deposit Application Transactions,DepApplTransactions,DepApplTransactions_id,DW_NS_DEPOSIT_APPL_LINES_F,transaction
